,SPX_Index_Volume,TIP_US_Equity_last,SPX_Index_PE_RATIO,SPX_Index_TO_SALES_RATIO,SPX_Index_GROSS_MARGIN,SPX_Index_TO_BOOK_RATIO,FEDL01 Index,HG1 COMB Comdty,XAG BGN Curncy,US0003M Index,CL1 COMB Comdty,GTDEM10Y Govt,GTJPY10Y Govt,GT2 Govt,BXIIUB10 Index,BXIIUB05 Index,EHUPUS   Index                                                  ,tnx,usd_jpy,ndx,dxy,gold,HSI,T10Y2Y,inflation,SPY_Close,SPY_Volume
2001/1/5,1502075700,55.9766,23.4211,1.7827,31.95,3.7008,4.61,77.4,4.37,4.34,28.94,5.022,1.354,4.227,100.4552,100.8019,3.9,4.947999954,116.4499969,2267.850098,108.4199982,268,27.27,0.37,0.101989513,85.94294739,12911400
2001/1/12,1502075700,55.9766,23.4211,1.7827,31.95,3.7008,4.61,77.4,4.37,4.34,28.94,5.022,1.354,4.227,100.4552,100.8019,3.9,5.230000019,118.4700012,2506.050049,109.3600006,263.8999939,27.09,0.35,0.101989513,87.81403351,7244000
2001/1/19,2131093400,55.9766,23.7309,1.9209,32.08,4.1876,5.92,84.75,4.745,5.61125,32.19,4.844,1.515,4.735,100.4552,100.8019,3.9,5.173999786,117.1299973,2655.77002,110.6600037,264.2999878,23.11,0.44,0.101989513,89.15489197,7782500
2001/1/26,1570201200,55.9766,23.9672,1.9402,32.09,4.2279,5.96,84,4.81,5.5675,29.77,4.852,1.42,4.771,100.4552,100.8019,3.9,5.252999783,117.3199997,2631.780029,111.4599991,262.7999878,24.52,0.51,0.101989513,90.39186859,7136800
2001/2/2,1364691500,55.9766,23.8414,1.9236,31.97,4.2012,5.5,84.15,4.775,5.3975,31.19,4.787,1.526,4.637,100.4552,100.8019,3.9,5.138000011,115.6299973,2472.179932,110.3199997,267.1000061,25.93,0.52,-0.053227991,89.67671204,8276600
2001/2/9,1364691500,55.9766,23.8414,1.9236,31.97,4.2012,5.5,84.15,4.775,5.3975,31.19,4.787,1.526,4.637,100.4552,100.8019,3.9,5.015999794,117.5,2261.77002,111.5199966,259.8999939,23.56,0.36,-0.053227991,87.70757294,9913000
2001/2/16,1751865200,55.9766,23.033,1.8556,31.96,4.0435,5.46,82.5,4.49,5.41,29.16,4.818,1.399,4.719,100.4552,100.8019,3.9,5.092999935,115.7200012,2212.51001,112.2600021,258.2000122,22.99,0.36,-0.053227991,86.74960327,6434900
2001/2/23,1840716200,55.9766,22.0463,1.7757,31.96,3.8717,5.46,79.6,4.44,5.3,29.04,4.828,1.436,4.53,100.4552,100.8019,3.9,5.079999924,115.75,2056.060059,112.0299988,260.8999939,23.61,0.57,-0.053227991,83.13059998,20173000
2001/3/2,1840716200,55.9766,22.0463,1.7757,31.96,3.8717,5.46,79.6,4.44,5.3,29.04,4.828,1.436,4.53,100.4552,100.8019,3.9,4.94299984,119.0500031,1881.339966,111.1699982,262.1000061,26.98,0.47,-0.173481259,82.23249054,12564300
2001/3/9,1840716200,55.9766,22.0463,1.7757,31.44,3.8717,5.46,79.6,4.19,3.46563,29.04,4.785,1.404,3.629,100.4552,100.8019,3.9,4.931000233,119.5400009,1813.02002,111.4400024,270.7999878,24.52,0.48,-0.173481259,82.06616974,10020300
2001/3/16,2120858380,55.9766,20.4021,1.6446,32.05,3.5719,5.4,78.35,4.31,4.9,26.74,4.665,1.14,4.24,100.4552,100.8019,3.9,4.751999855,122.9199982,1647.51001,115.3199997,258.1000061,27.81,0.52,-0.173481259,76.71727753,58514600
2001/3/23,1964419100,55.9766,20.2412,1.6338,32.1,3.5395,4.94,78.05,4.355,4.86,27.3,4.621,1.139,4.261,100.4552,100.8019,3.9,4.798999786,122.8300018,1705.02002,115.9400024,261.5,31.76,0.56,-0.173481259,76.36374664,12861700
2001/3/30,1584851800,55.9766,20.5949,1.662,32.1,3.592,5.29,76.4,4.3,4.87875,26.29,4.705,1.273,4.18,100.4552,100.8019,4.23,4.914999962,126.2300034,1573.25,117.3700027,257.8999939,29.43,0.75,-0.173481259,77.83792114,9183600
