"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2022","13.2900","13.3550","14.2850","13.2625","","-5.59%"
"12/07/2022","14.0775","14.0425","14.4625","13.7950","","0.25%"
"12/06/2022","14.0425","13.7325","14.2525","12.1800","","2.26%"
"12/05/2022","13.7325","13.4500","14.4175","13.4500","","2.10%"
"12/02/2022","13.4500","13.3600","14.0925","12.9600","","0.67%"
"12/01/2022","13.3600","13.8075","14.2300","12.9850","","-3.24%"
"11/30/2022","13.8075","13.6150","14.0500","12.7525","","1.41%"
"11/29/2022","13.6150","13.5650","14.6200","12.4075","","0.37%"
"11/28/2022","13.5650","13.3325","14.0575","12.4100","","1.74%"
"11/25/2022","13.3325","13.4775","15.7725","12.7725","","-1.08%"
"11/24/2022","13.4775","14.0425","14.0425","12.9975","","-4.02%"
"11/23/2022","14.0425","13.8425","14.3275","11.8750","","1.44%"
"11/22/2022","13.8425","14.7975","16.2725","13.3200","","-6.45%"
"11/21/2022","14.7975","14.3900","15.5475","13.3625","","2.83%"
"11/18/2022","14.3900","14.8775","15.6925","13.8600","","-3.28%"
"11/17/2022","14.8775","15.1000","16.2625","13.0900","","-1.47%"
"11/16/2022","15.1000","14.6350","15.5325","13.9275","","3.18%"
"11/15/2022","14.6350","14.9100","15.0150","13.8275","","-1.84%"
"11/14/2022","14.9100","14.4050","15.2700","12.5550","","3.51%"
"11/11/2022","14.4050","15.5675","15.5675","14.2775","","-7.47%"
"11/10/2022","15.5675","15.9150","16.2925","15.4925","","-2.18%"
"11/09/2022","15.9150","15.5850","16.0675","15.0175","","2.12%"
"11/07/2022","15.5850","15.6550","16.3550","15.2775","","-0.45%"
"11/04/2022","15.6550","15.9425","16.2075","15.4825","","-1.80%"
"11/03/2022","15.9425","16.6625","16.7325","14.9850","","-4.32%"
"11/02/2022","16.6625","16.1300","16.8550","14.6800","","3.30%"
"11/01/2022","16.1300","15.8025","16.2025","15.1075","","2.07%"
"10/31/2022","15.8025","15.9225","16.6300","15.0700","","-0.75%"
"10/28/2022","15.9225","16.5975","17.0375","15.8475","","-4.07%"
"10/27/2022","16.5975","16.8800","17.0700","14.7900","","-1.67%"
"10/25/2022","16.8800","17.4225","17.6175","16.4900","","-3.11%"
"10/24/2022","17.4225","17.2800","17.6725","17.0700","","0.82%"
"10/21/2022","17.2800","17.2325","17.4275","16.5850","","0.28%"
"10/20/2022","17.2325","17.4875","17.7625","15.5675","","-1.46%"
"10/19/2022","17.4875","17.4525","17.5550","16.2275","","0.20%"
"10/18/2022","17.4525","18.4175","18.4175","16.5750","","-5.24%"
"10/17/2022","18.4175","18.2575","19.0775","18.2575","","0.88%"
"10/14/2022","18.2575","20.2900","20.6300","18.0750","","-10.02%"
"10/13/2022","20.2900","20.1750","20.9425","18.4025","","0.57%"
"10/12/2022","20.1750","20.4900","20.8850","19.8850","","-1.54%"
"10/11/2022","20.4900","19.6225","20.8175","19.0900","","4.42%"
"10/10/2022","19.6225","18.8125","20.3400","18.8125","","4.31%"
"10/07/2022","18.8125","19.3150","19.7250","18.6875","","-2.60%"
"10/06/2022","19.3150","19.5700","20.0200","18.5850","","-1.30%"
"10/04/2022","19.5700","21.3650","21.3650","19.4475","","-8.40%"
"10/03/2022","21.3650","19.9675","21.6800","19.9675","","7.00%"
"09/30/2022","19.9675","21.3025","21.9875","19.6975","","-6.27%"
"09/29/2022","21.3025","22.0950","22.2875","21.0650","","-3.59%"
"09/28/2022","22.0950","21.5675","22.3625","21.4900","","2.45%"
"09/27/2022","21.5675","21.8925","22.2925","20.7875","","-1.48%"
"09/26/2022","21.8925","20.5925","22.8975","18.8050","","6.31%"
"09/23/2022","20.5925","18.8150","20.8125","17.3450","","9.45%"
"09/22/2022","18.8150","19.3250","20.1375","17.4075","","-2.64%"
"09/21/2022","19.3250","18.7975","20.2900","18.3050","","2.81%"
"09/20/2022","18.7975","19.9400","19.9400","18.1125","","-5.73%"
"09/19/2022","19.9400","19.8225","21.2050","16.4725","","0.59%"
"09/16/2022","19.8225","18.3925","20.2425","18.3000","","7.77%"
"09/15/2022","18.3925","18.2775","19.2150","16.7800","","0.63%"
"09/14/2022","18.2775","17.4700","18.5650","17.2600","","4.62%"
"09/13/2022","17.4700","17.9375","17.9375","16.8575","","-2.61%"
"09/12/2022","17.9375","17.7175","18.3825","16.3925","","1.24%"
"09/09/2022","17.7175","18.3050","18.5100","16.5450","","-3.21%"
"09/08/2022","18.3050","19.3675","19.3675","17.3025","","-5.49%"
"09/07/2022","19.3675","19.5250","20.1750","18.2775","","-0.81%"
"09/06/2022","19.5250","19.6625","20.0000","18.6450","","-0.70%"
"09/05/2022","19.6625","19.5500","20.2900","19.4500","","0.58%"
"09/02/2022","19.5500","19.8725","20.1425","17.4025","","-1.62%"
"09/01/2022","19.8725","18.7000","20.9875","18.1050","","6.27%"
"08/30/2022","18.7000","19.8225","19.8225","17.2575","","-5.66%"
"08/29/2022","19.8225","18.2150","21.2050","18.2150","","8.83%"
"08/26/2022","18.2150","19.5700","19.5700","15.8250","","-6.92%"
"08/25/2022","19.5700","18.4300","20.2150","17.2750","","6.19%"
"08/24/2022","18.4300","19.0500","19.3425","17.9875","","-3.25%"
"08/23/2022","19.0500","19.0375","19.5900","18.1775","","0.07%"
"08/22/2022","19.0375","18.2850","19.2950","17.2000","","4.12%"
"08/19/2022","18.2850","17.3500","18.5675","16.8750","","5.39%"
"08/18/2022","17.3500","17.6775","18.4400","16.7150","","-1.85%"
"08/17/2022","17.6775","17.6850","17.7875","16.5475","","-0.04%"
"08/16/2022","17.6850","17.6075","18.3550","17.0050","","0.44%"
"08/12/2022","17.6075","18.3550","18.5250","17.4100","","-4.07%"
"08/11/2022","18.3550","19.5875","19.5875","18.2000","","-6.29%"
"08/10/2022","19.5875","19.3025","20.7700","18.8575","","1.48%"
"08/08/2022","19.3025","18.9150","20.1800","17.7800","","2.05%"
"08/05/2022","18.9150","19.2575","19.3900","18.0075","","-1.78%"
"08/04/2022","19.2575","18.4500","21.0600","17.6250","","4.38%"
"08/03/2022","18.4500","18.5300","19.1725","17.9500","","-0.43%"
"08/02/2022","18.5300","17.4850","18.7550","17.4850","","5.98%"
"08/01/2022","17.4850","16.5500","17.6250","15.8925","","5.65%"
"07/29/2022","16.5500","17.0125","18.6450","16.4900","","-2.72%"
"07/28/2022","17.0125","18.1300","18.1300","16.8375","","-6.16%"
"07/27/2022","18.1300","18.1700","18.6350","17.7525","","-0.22%"
"07/26/2022","18.1700","17.6800","18.2675","17.3550","","2.77%"
"07/25/2022","17.6800","16.6500","17.9075","16.1775","","6.19%"
"07/22/2022","16.6500","16.8575","16.9625","16.1625","","-1.23%"
"07/21/2022","16.8575","16.8225","17.2075","15.9725","","0.21%"
"07/20/2022","16.8225","17.2025","17.2725","15.6575","","-2.21%"
"07/19/2022","17.2025","17.1600","17.6675","16.3525","","0.25%"
"07/18/2022","17.1600","17.5975","18.1825","16.4700","","-2.49%"
"07/15/2022","17.5975","18.3400","18.3400","17.5300","","-4.05%"
"07/14/2022","18.3400","18.5200","18.6900","17.7500","","-0.97%"
"07/13/2022","18.5200","18.5475","18.7625","17.7350","","-0.15%"
"07/12/2022","18.5475","18.3675","18.6375","17.3000","","0.98%"
"07/11/2022","18.3675","18.3950","19.2150","16.6475","","-0.15%"
"07/08/2022","18.3950","19.2025","19.2025","18.2200","","-4.21%"
"07/07/2022","19.2025","20.2675","20.2675","19.0125","","-5.25%"
"07/06/2022","20.2675","20.7875","20.7875","19.8225","","-2.50%"
"07/05/2022","20.7875","20.9725","20.9925","20.2350","","-0.88%"
"07/04/2022","20.9725","21.2500","22.2475","20.9225","","-1.31%"
"07/01/2022","21.2500","21.8400","22.4300","21.1425","","-2.70%"
"06/30/2022","21.8400","21.9000","22.2725","21.5375","","-0.27%"
"06/29/2022","21.9000","21.4500","22.0850","21.4500","","2.10%"
"06/28/2022","21.4500","21.0050","21.6800","20.5125","","2.12%"
"06/27/2022","21.0050","20.5500","21.1200","19.5450","","2.21%"
"06/24/2022","20.5500","20.8800","21.2725","18.6825","","-1.58%"
"06/23/2022","20.8800","21.3000","21.7100","18.3550","","-1.97%"
"06/22/2022","21.3000","21.1425","21.7850","19.3200","","0.74%"
"06/21/2022","21.1425","22.4125","22.4125","20.4800","","-5.67%"
"06/20/2022","22.4125","22.7575","23.6350","16.0025","","-1.52%"
"06/17/2022","22.7575","22.8675","23.6900","18.0225","","-0.48%"
"06/16/2022","22.8675","22.1475","28.1300","19.7475","","3.25%"
"06/15/2022","22.1475","21.8875","22.3650","20.9500","","1.19%"
"06/14/2022","21.8875","22.3650","22.6350","18.9475","","-2.14%"
"06/13/2022","22.3650","19.5750","22.8025","19.5750","","14.25%"
"06/10/2022","19.5750","19.1400","19.7550","18.2550","","2.27%"
"06/09/2022","19.1400","19.8375","19.8375","18.1550","","-3.52%"
"06/08/2022","19.8375","20.4250","20.6875","19.3875","","-2.88%"
"06/07/2022","20.4250","20.2025","21.0700","19.4325","","1.10%"
"06/06/2022","20.2025","19.9750","20.6825","18.6500","","1.14%"
"06/03/2022","19.9750","20.3200","20.3200","18.7350","","-1.70%"
"06/02/2022","20.3200","20.8450","20.9975","18.3825","","-2.52%"
"06/01/2022","20.8450","20.4775","21.3375","18.2300","","1.79%"
"05/31/2022","20.4775","19.9800","20.7500","19.6800","","2.49%"
"05/30/2022","19.9800","21.4800","21.4800","19.7200","","-6.98%"
"05/27/2022","21.4800","22.7175","22.7175","21.2000","","-5.45%"
"05/26/2022","22.7175","25.2825","25.2825","22.5350","","-10.15%"
"05/25/2022","25.2825","25.6350","25.6350","24.3625","","-1.38%"
"05/24/2022","25.6350","23.3975","25.9900","23.1550","","9.56%"
"05/23/2022","23.3975","23.1000","23.9750","20.5000","","1.29%"
"05/20/2022","23.1000","24.5575","24.5575","22.4425","","-5.94%"
"05/19/2022","24.5575","22.2950","25.1475","22.2950","","10.15%"
"05/18/2022","22.2950","22.7425","23.0600","21.3400","","-1.97%"
"05/17/2022","22.7425","24.5275","24.8400","17.0950","","-7.28%"
"05/16/2022","24.5275","23.4850","24.7125","21.2750","","4.44%"
"05/13/2022","23.4850","24.2650","24.2650","20.9675","","-3.21%"
"05/12/2022","24.2650","22.8025","25.3150","21.1500","","6.41%"
"05/11/2022","22.8025","22.3025","24.1875","20.4825","","2.24%"
"05/10/2022","22.3025","22.0325","22.5150","21.2175","","1.23%"
"05/09/2022","22.0325","21.2500","22.5200","18.9600","","3.68%"
"05/06/2022","21.2500","20.2925","21.8100","19.3325","","4.72%"
"05/05/2022","20.2925","21.8775","21.8775","19.6150","","-7.24%"
"05/04/2022","21.8775","20.2825","22.3875","18.4275","","7.86%"
"05/02/2022","20.2825","19.4150","21.0625","19.4150","","4.47%"
"04/29/2022","19.4150","19.3775","19.6475","18.2075","","0.19%"
"04/28/2022","19.3775","20.6050","20.6050","19.0225","","-5.96%"
"04/27/2022","20.6050","19.1875","21.3650","19.1875","","7.39%"
"04/26/2022","19.1875","21.2575","21.2575","19.0050","","-9.74%"
"04/25/2022","21.2575","18.3525","21.7550","18.3525","","15.83%"
"04/22/2022","18.3525","17.8525","18.7600","17.8125","","2.80%"
"04/21/2022","17.8525","18.6725","18.6725","13.3500","","-4.39%"
"04/20/2022","18.6725","19.7750","20.2650","17.8350","","-5.58%"
"04/19/2022","19.7750","19.3350","20.8075","14.6275","","2.28%"
"04/18/2022","19.3350","17.7850","20.4825","17.7850","","8.72%"
"04/13/2022","17.7850","18.1575","18.4025","16.1925","","-2.05%"
"04/12/2022","18.1575","18.2700","18.6725","15.0850","","-0.62%"
"04/11/2022","18.2700","17.6875","19.1450","16.6425","","3.29%"
"04/08/2022","17.6875","18.9975","20.0875","17.5300","","-6.90%"
"04/07/2022","18.9975","19.0225","19.4900","17.7175","","-0.13%"
"04/06/2022","19.0225","18.4875","19.2825","16.8100","","2.89%"
"04/05/2022","18.4875","17.9075","18.6300","16.7900","","3.24%"
"04/04/2022","17.9075","18.4350","18.8250","17.5925","","-2.86%"
"04/01/2022","18.4350","20.5600","20.8550","18.1200","","-10.34%"
"03/31/2022","20.5600","20.6100","20.9425","20.2125","","-0.24%"
"03/30/2022","20.6100","21.3025","21.3025","19.7300","","-3.25%"
"03/29/2022","21.3025","22.6100","22.6100","21.1025","","-5.78%"
"03/28/2022","22.6100","23.4300","24.2125","19.5900","","-3.50%"
"03/25/2022","23.4300","23.9300","24.2725","22.9100","","-2.09%"
"03/24/2022","23.9300","24.7475","25.5300","23.8125","","-3.30%"
"03/23/2022","24.7475","24.0700","24.9750","20.4550","","2.81%"
"03/22/2022","24.0700","24.6225","25.1575","23.7600","","-2.24%"
"03/21/2022","24.6225","22.6100","24.7125","22.6100","","8.90%"
"03/17/2022","22.6100","24.1175","24.1175","20.7700","","-6.25%"
"03/16/2022","24.1175","26.7300","26.7300","24.0125","","-9.77%"
"03/15/2022","26.7300","25.6775","27.5425","23.6575","","4.10%"
"03/14/2022","25.6775","25.3450","26.2125","25.0900","","1.31%"
"03/11/2022","25.3450","25.5825","25.8725","24.5800","","-0.93%"
"03/10/2022","25.5825","27.4675","27.4675","22.9625","","-6.86%"
"03/09/2022","27.4675","28.5875","28.5875","27.3050","","-3.92%"
"03/08/2022","28.5875","29.3300","30.0575","27.1125","","-2.53%"
"03/07/2022","29.3300","27.9575","30.2775","27.9575","","4.91%"
"03/04/2022","27.9575","28.1550","29.9250","27.2225","","-0.70%"
"03/03/2022","28.1550","29.2325","29.2325","27.2225","","-3.69%"
