Security,GTHKD2YR Corp                                                   ,GTDEM2YR Corp                                                   ,GTDEM10YR Corp                                                  ,GTINR10YR Corp                                                  ,GTINR2YR Corp                                                   
2001-01-05,4.938,4.206,4.693,10.67,9.832
2001-01-08,4.718,4.217,4.706,10.65,9.815
2001-01-09,4.799,4.321,4.75,10.674,9.837
2001-01-10,4.783,4.399,4.785,10.686,9.863
2001-01-11,4.835,4.382,4.76,10.698,9.882
2001-01-12,4.914,4.476,4.83,10.664,9.844
2001-01-15,4.998,4.476,4.83,10.613,9.839
2001-01-16,5.013,4.445,4.847,10.627,9.845
2001-01-17,5.029,4.475,4.822,10.613,9.832
2001-01-18,4.952,4.411,4.811,10.564,9.817
2001-01-19,4.89,4.389,4.844,10.539,9.783
2001-01-22,4.891,4.42,4.866,10.568,9.75
2001-01-23,4.896,4.39,4.846,10.54,9.699
2001-01-24,4.896,4.484,4.877,10.536,9.691
2001-01-25,4.896,4.542,4.878,10.564,9.71
2001-01-26,4.896,4.535,4.852,10.564,9.71
2001-01-29,4.877,4.506,4.848,10.609,9.744
2001-01-30,4.879,4.43,4.822,10.611,9.743
2001-01-31,4.774,4.386,4.797,10.555,9.687
2001-02-01,4.677,4.403,4.789,10.601,9.706
2001-02-02,4.678,4.42,4.787,10.612,9.715
2001-02-05,4.748,4.399,4.768,10.59,9.661
2001-02-06,4.766,4.427,4.774,10.528,9.617
2001-02-07,4.786,4.407,4.755,10.484,9.591
2001-02-08,4.803,4.459,4.796,10.389,9.516
2001-02-09,4.803,4.422,4.771,10.327,9.497
2001-02-12,4.818,4.426,4.764,10.333,9.517
2001-02-13,4.842,4.404,4.761,10.346,9.534
2001-02-14,4.893,4.444,4.784,10.399,9.548
2001-02-15,5.049,4.533,4.841,10.467,9.64
2001-02-16,5.046,4.491,4.818,10.411,9.58
2001-02-19,4.977,4.482,4.802,10.411,9.58
2001-02-20,4.982,4.495,4.818,10.292,9.353
2001-02-21,4.98,4.505,4.84,10.292,9.353
2001-02-22,4.97,4.526,4.852,10.095,9.177
2001-02-23,4.946,4.485,4.828,10.104,9.177
2001-02-26,4.823,4.465,4.83,10.099,9.15
2001-02-27,4.736,4.374,4.757,10.067,9.117
2001-02-28,4.708,4.374,4.754,9.788,8.893
2001-03-01,4.7,4.392,4.746,9.662,8.766
2001-03-02,4.731,4.397,4.735,9.86,8.79
2001-03-05,4.769,4.429,4.758,10.033,8.961
2001-03-06,4.767,4.426,4.751,10.033,8.961
2001-03-07,4.725,4.409,4.751,9.868,8.833
2001-03-08,4.736,4.382,4.709,9.828,8.819
2001-03-09,4.748,4.4,4.717,9.877,8.847
2001-03-12,4.821,4.402,4.708,9.886,8.835
2001-03-13,4.781,4.417,4.735,9.966,8.946
2001-03-14,4.774,4.303,4.697,10.101,9.001
2001-03-15,4.702,4.262,4.697,10.062,8.974
2001-03-16,4.679,4.202,4.665,10.061,9.029
2001-03-19,4.716,4.239,4.688,10.036,9.026
2001-03-20,4.762,4.264,4.699,10.032,9.022
2001-03-21,4.754,4.166,4.659,10.048,9.008
2001-03-22,4.783,4.078,4.603,10.086,9.058
2001-03-23,4.806,4.094,4.621,10.104,9.035
