Date,Adj Close,Open,High,Low,Vol.,Change %,vix_return,EWMA_1,EWMA_2
2012-12-28,21.35,17.84,21.35,17.79,,17.11%,0.0,17.84,17.84
2013-01-04,16.07,17.82,17.87,16.05,,-8.38%,-0.28409755992521235,17.82,17.824999999999996
2013-01-11,15.57,15.98,16.11,15.56,,-3.41%,-0.03160819390351421,15.98,16.547692307692305
2013-01-18,15.88,15.93,16.26,15.64,,-0.19%,0.019714469973082734,15.93,16.13075
2013-01-25,14.91,15.35,15.4,14.61,,-2.61%,-0.0630283270423427,15.35,15.60809917355372
2013-02-01,15.99,16.83,16.93,15.77,,-3.91%,0.06993139806921585,16.83,16.423818681318682
2013-02-08,18.56,19.9,20.1,18.28,,-10.77%,0.1490452005121916,19.9,18.742333028362307
2013-02-15,18.85,18.77,19.07,17.72,,1.07%,0.015504186535965473,18.77,18.76078048780488
2013-02-22,20.86,20.54,21.31,20.22,,-3.02%,0.10132053567860645,20.54,19.94698709480744
2013-03-01,21.77,21.19,23.85,20.78,,3.67%,0.04269942567382968,21.19,20.775676398861943
2013-03-08,17.38,18.0,18.04,17.02,,-7.26%,-0.2252127554092101,18.0,18.925215020378673
2013-03-15,15.73,15.44,16.36,15.42,,4.31%,-0.09975040276705947,15.44,16.601733968086705
2013-03-22,21.29,20.58,21.65,20.56,,7.58%,0.30266776183520167,20.58,19.253912986209812
2013-03-29,20.89,21.39,22.13,20.15,,-4.44%,-0.018966903336913664,21.39,20.677971293138487
2013-04-05,22.29,20.95,23.42,20.53,,5.64%,0.064867571829303,20.95,20.85932377701826
2013-04-12,20.21,19.11,20.45,19.09,,7.21%,-0.09796061598224773,19.11,19.69310789858089
2013-04-19,20.5,21.6,21.7,20.42,,-6.61%,0.0142473547288329,21.6,20.96436930937101
2013-04-26,19.71,19.69,20.19,19.4,,1.55%,-0.03929876497973358,19.69,20.114789767597422
2013-05-03,17.63,18.68,18.7,17.41,,-5.97%,-0.11152412475485009,18.68,19.15826325504282
2013-05-10,17.43,17.15,17.7,17.06,,1.22%,-0.01140913687784922,17.15,17.819421084630296
2013-05-17,16.31,16.59,16.8,16.1,,0.31%,-0.06641444289900707,16.59,16.999807028131745
2013-05-24,18.49,17.89,19.26,17.59,,0.71%,0.125451628766111,17.89,17.59326900939616
2013-05-31,19.6,18.71,19.77,18.71,,3.92%,0.05829952083743824,18.71,18.337756336473294
2013-06-07,19.95,22.39,22.39,19.8,,-10.14%,0.017699577099400857,22.39,21.03925211216733
2013-06-14,21.26,21.82,21.88,20.63,,-3.84%,0.06359822957792954,21.82,21.559750704056388
2013-06-21,24.05,23.02,24.26,22.32,,1.86%,0.12330762363796825,23.02,22.53325023468585
2013-06-28,21.82,21.39,22.59,21.37,,0.60%,-0.09730801614684549,21.39,21.77108341156185
2013-07-05,22.59,21.34,22.68,20.96,,5.86%,0.03468035007498704,21.34,21.483694470520604
2013-07-12,19.07,18.75,19.32,18.43,,0.47%,-0.16939091086758412,18.75,19.661231490173506
2013-07-19,17.23,17.93,17.96,16.85,,-2.60%,-0.10146436907248943,17.93,18.507077163391163
2013-07-26,18.11,17.0,18.29,16.93,,3.60%,0.04981222135548361,17.0,17.502359054463717
2013-08-02,16.82,17.43,17.46,16.82,,-27.84%,-0.07389561735051992,17.43,17.45411968482124
2013-08-09,17.17,17.18,17.58,16.87,,-1.04%,0.02059502036458221,17.18,17.27137322827375
2013-08-16,16.41,17.16,17.85,16.04,,-5.09%,-0.045272769807384775,17.16,17.197124409424585
2013-08-23,17.82,18.89,19.32,17.45,,-4.76%,0.08243051694066371,18.89,18.325708136474862
2013-08-30,23.48,21.56,23.5,21.45,,11.02%,0.2758275729172324,21.56,20.481902712158288
2013-09-06,20.23,21.17,21.63,19.59,,-5.95%,-0.14898234378024156,21.17,20.940634237386096
2013-09-13,18.38,18.65,19.14,18.27,,-0.16%,-0.09590353425211313,18.65,19.413544745795363
2013-09-20,16.76,16.99,17.05,16.04,,-0.65%,-0.09226802187360385,16.99,17.797848248598452
2013-09-27,16.92,16.28,17.06,16.28,,2.73%,0.009501259124140215,16.28,16.785949416199486
2013-10-04,19.54,19.91,19.98,19.0,,-2.59%,0.14396729243655923,19.91,18.86864980539983
2013-10-11,18.26,19.31,19.39,18.26,,-7.96%,-0.0677507714478141,19.31,19.16288326846661
2013-10-18,15.42,16.54,16.56,15.37,,-8.38%,-0.169047507031639,16.54,17.414294422822206
2013-10-25,15.02,15.65,15.86,15.01,,-3.47%,-0.026282721799194764,15.65,16.238098140940735
2013-11-01,16.2,15.97,16.28,15.49,,1.95%,0.0756285959023496,15.97,16.059366046980244
2013-11-08,17.29,17.23,18.19,17.02,,3.59%,0.06511705745686078,17.23,16.83978868232675
2013-11-15,15.16,15.75,15.75,15.02,,-4.71%,-0.13146791948097353,15.75,16.113262894108917
2013-11-22,14.26,14.75,14.87,14.22,,-5.44%,-0.06120196522807572,14.75,15.20442096470297
2013-11-29,14.65,13.87,14.66,13.86,,6.01%,0.02698192047692642,13.87,14.314806988234324
2013-12-06,16.5,17.97,18.25,16.47,,-10.23%,0.11892004544345851,17.97,16.75160232941144
2013-12-13,18.2,17.95,18.66,17.33,,0.78%,0.09806121317621473,17.95,17.550534109803813
2013-12-20,16.01,15.2,16.15,14.74,,3.96%,-0.12820806707412624,15.2,15.983511369934604
2013-12-27,16.46,16.04,16.61,16.02,,4.11%,0.027719668240300407,16.04,16.021170456644867
2014-01-03,18.0,18.66,18.76,17.71,,-4.91%,0.08943856264724082,18.66,17.780390152214956
2014-01-10,16.56,16.86,17.12,16.42,,-4.61%,-0.08338160893905114,16.86,17.166796717404985
2014-01-17,15.74,16.72,16.75,15.74,,-7.74%,-0.05078490596785635,16.72,16.868932239134995
2014-01-24,20.93,17.42,20.99,17.28,,19.53%,0.28497829346865117,17.42,17.236310746378333
2014-01-31,21.82,21.16,24.6,21.12,,3.31%,0.0416434439470164,21.16,19.85210358212611
2014-02-07,19.23,20.67,21.4,19.22,,-7.55%,-0.12635542080423634,20.67,20.3973678607087
2014-02-14,16.38,17.42,17.48,16.34,,-6.40%,-0.16041048117576504,17.42,18.412455953569566
2014-02-21,17.38,17.39,17.92,16.98,,-2.19%,0.05925904141232262,17.39,17.730818651189853
2014-02-28,16.77,16.92,18.71,16.56,,-2.04%,-0.0357285440021285,16.92,17.19027288372995
2014-03-07,20.47,17.91,20.75,17.8,,14.87%,0.19936882383808066,17.91,17.670090961243318
2014-03-14,23.21,23.02,24.35,22.25,,5.07%,0.12562282061314767,23.02,21.236696987081107
2014-03-21,17.19,17.66,18.18,17.06,,-5.18%,-0.3002554008915877,17.66,18.852232329027036
2014-03-28,17.03,17.37,17.38,16.74,,-3.46%,-0.009351324720160998,17.37,17.864077443009013
2014-04-04,15.88,16.44,16.45,15.5,,-2.99%,-0.06991603885560728,16.44,16.914692481003005
2014-04-11,18.3,18.01,19.11,17.65,,6.09%,0.14184060402838558,18.01,17.64489749366767
2014-04-18,16.99,17.33,17.8,16.63,,-1.91%,-0.07427612416353475,17.33,17.434965831222556
2014-04-25,18.77,17.34,19.7,17.34,,10.41%,0.09963491491457684,17.34,17.371655277074186
2014-05-02,17.9,17.21,17.98,16.54,,4.86%,-0.047459137751708236,17.21,17.263885092358063
2014-05-09,16.67,17.0,17.12,16.55,,-0.36%,-0.07119001608400645,17.0,17.087961697452688
2014-05-16,15.79,16.91,17.25,15.72,,-9.51%,-0.05423386849515212,16.91,16.969320565817565
2014-05-23,15.6,15.35,15.61,15.09,,2.23%,-0.01210591401205931,15.35,15.889773521939189
2014-05-30,15.78,15.77,15.93,15.52,,1.68%,0.011472401162236781,15.77,15.809924507313063
2014-06-06,13.46,14.55,14.61,13.35,,-7.93%,-0.1590209912011463,14.55,14.969974835771021
2014-06-13,14.15,14.21,15.22,13.83,,2.17%,0.04999229987266492,14.21,14.463324945257007
2014-06-20,12.78,12.86,12.91,12.32,,0.55%,-0.10183317513985793,12.86,13.394441648419003
2014-06-27,15.3,14.65,15.44,14.26,,3.38%,0.17997137944900118,14.65,14.231480549473
2014-07-04,13.1,13.11,13.17,12.76,,1.63%,-0.15524059819128397,13.11,13.483826849824332
2014-07-11,16.34,16.25,16.88,15.75,,-1.92%,0.22100385922475105,16.25,15.327942283274778
2014-07-18,16.53,18.19,18.7,16.45,,-6.35%,0.011560822401076006,18.19,17.235980761091593
2014-07-25,16.73,15.16,16.88,14.87,,12.66%,0.01202660316579971,15.16,15.85199358703053
2014-08-01,19.81,19.54,20.63,18.77,,3.61%,0.1689833457117268,19.54,18.310664529010175
2014-08-08,21.24,21.71,22.15,20.37,,2.12%,0.06969933566327861,21.71,20.576888176336727
2014-08-15,20.36,17.1,20.42,16.01,,17.69%,-0.04231400469141608,17.1,18.258962725445574
2014-08-22,17.23,16.06,17.88,15.9,,7.49%,-0.16692014114248369,16.06,16.792987575148526
2014-08-29,17.19,16.87,18.44,16.45,,-0.52%,-0.0023242311450803487,16.87,16.844329191716174
