"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2014","17.54","17.94","17.98","17.54","","-2.66%"
"12/30/2014","18.02","17.57","18.03","17.19","","2.15%"
"12/29/2014","17.64","17.75","18.25","17.61","","1.91%"
"12/24/2014","17.31","17.73","17.75","16.99","","-2.92%"
"12/23/2014","17.83","18.77","18.83","17.81","","-3.57%"
"12/22/2014","18.49","18.96","18.96","18.33","","-2.94%"
"12/19/2014","19.05","18.96","19.25","18.32","","-2.61%"
"12/18/2014","19.56","19.81","20.44","19.20","","-7.30%"
"12/17/2014","21.10","19.69","21.29","19.35","","7.54%"
"12/16/2014","19.62","17.71","19.62","17.57","","9.43%"
"12/15/2014","17.93","18.76","18.83","17.84","","4.55%"
"12/12/2014","17.15","17.63","17.67","17.12","","-3.00%"
"12/11/2014","17.68","18.91","18.91","17.66","","-1.34%"
"12/10/2014","17.92","18.23","18.59","17.76","","0.73%"
"12/09/2014","17.79","17.18","18.49","16.87","","4.34%"
"12/08/2014","17.05","17.43","17.57","16.93","","0.12%"
"12/05/2014","17.03","16.64","17.34","16.62","","4.41%"
"12/04/2014","16.31","16.26","16.52","16.15","","-0.61%"
"12/03/2014","16.41","15.68","16.45","15.67","","4.26%"
"12/02/2014","15.74","15.83","15.93","15.05","","-2.90%"
"12/01/2014","16.21","14.92","16.36","14.49","","12.73%"
"11/28/2014","14.38","14.22","14.70","13.78","","-3.10%"
"11/27/2014","14.84","15.46","15.50","14.59","","-2.05%"
"11/26/2014","15.15","14.53","15.51","14.20","","5.21%"
"11/25/2014","14.40","15.08","15.11","14.11","","-8.28%"
"11/24/2014","15.70","15.93","16.03","14.97","","10.25%"
"11/21/2014","14.24","15.03","15.07","13.94","","-6.62%"
"11/20/2014","15.25","15.48","15.72","15.19","","-3.11%"
"11/19/2014","15.74","16.88","16.88","15.58","","-5.64%"
"11/18/2014","16.68","17.02","17.06","16.44","","-2.91%"
"11/17/2014","17.18","17.77","17.77","16.84","","-1.72%"
"11/14/2014","17.48","17.03","17.48","16.94","","3.80%"
"11/13/2014","16.84","16.77","17.10","16.64","","1.26%"
"11/12/2014","16.63","16.72","16.85","16.60","","0.24%"
"11/11/2014","16.59","16.47","17.09","16.22","","-1.83%"
"11/10/2014","16.90","18.10","18.13","16.69","","4.32%"
"11/07/2014","16.20","15.84","16.40","15.30","","4.99%"
"11/06/2014","15.43","15.62","15.65","15.31","","-1.84%"
"11/05/2014","15.72","15.87","16.18","15.65","","-0.95%"
"11/04/2014","15.87","15.81","15.88","15.51","","-0.87%"
"11/03/2014","16.01","16.69","16.81","15.95","","-2.14%"
"10/31/2014","16.36","16.35","17.06","15.94","","0.25%"
"10/30/2014","16.32","16.23","16.68","16.13","","0.12%"
"10/29/2014","16.30","16.38","16.63","15.80","","-0.55%"
